animename,genre
Guilty Crown,"1,8,24,18,74,31"
Renwu Dashi,"1,2,10"
Toaru Hikuushi e no Koiuta,"2,8,22"
Jitsu wa Watashi wa,"4,10,22,35,23,32,27"
Chara to Otamajakushi Shima,"2,10,15"
Naruto,"1,2,10,17,27"
Yakitate!! Japan,"4,47,27"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"1,8,22,50,13,21,27"
Rurouni Kenshin: Meiji Kenkaku Romantan,"1,4,22,13,21,27"
Arc the Lad,"1,2,10,14,24"
Gakuen Alice,"4,10,64,23,31,25"
Ou Dorobou Jing,"2,4,10,24,27"
Ou Dorobou Jing in Seventh Heaven,"2,4,10,40,27"
Fullmetal Alchemist,"1,2,46,8,10,38,27"
Blood+,"1,8,14,7,37,58,38,32"
R.O.D: Read or Die,"1,2,7,24,50,13"
R.O.D: The TV,"1,2,4,8,24,31"
Jigoku Shoujo,"14,7,37,41,40"
Koukyoushihen Eureka Seven,"1,2,8,22,24,18"
Gravitation,"28,4,50,19,75,25"
Great Teacher Onizuka,"4,55,23,48,27"
Bleach,"1,2,10,27"
Angel Heart,"1,8,7,22,42"
Paradise Kiss,"8,22,23,80,43"
Spiral: Suiri no Kizuna,"8,7,27"
Wild Arms: Twilight Venom,"1,2,10,24,32"
I'll/CKBC,"30,23,77,27"
Gallery Fake,"7,50,80,42"
Blood: The Last Vampire,"46,14,37,58,32"
Fullmetal Alchemist: The Conqueror of Shamballa,"1,2,46,8,10,13,38,27"
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,"1,2,10,27"
Ginban Kaleidoscope,"8,22,30,37,70"
Kamichu!,"46,36,37,63,6,23"
Gravitation: Lyrics of Love,"28,4,50,19,75,25"
Cossette no Shouzou,"8,14,22,37,58,40,80"
Kage kara Mamoru!,"4,22"
Jinzou Ningen Kikaider The Animation,"1,8,24,18,27"
Kiba,"1,2,10,62"
Fullmetal Alchemist: Premium Collection,"4,10,27"
Gintama,"1,4,24,57,13,20,21,27"
Virtua Fighter,"1,17"
Yokohama Kaidashi Kikou,"24,36,63,42"
Honoo no Mirage,"1,28,8,37,13,72,23,25"
Honoo no Mirage: Minagiwa no Hangyakusha,"1,28,8,37,13,72,25"
Demashita! Powerpuff Girls Z,"1,4,24,23,31"
Gakkou no Kaidan,"14,7,37"
Flag,"50,18,38"
Idaten Jump,"30,3,23"
Hakaima Sadamitsu,"1,24,18,23,42"
D.Gray-man,"1,2,10,6,31,27"
Kiniro no Corda: Primo Passo,"22,19,70,73,23,43"
Submarine 707R,"1,2,24,38"
009-1,"1,24,18,42"
Tenpou Ibun: Ayakashi Ayashi,"37,13,6"
Jigoku Shoujo Futakomori,"14,7,37,40"
Kai Doh Maru,"1,10,13"
Nerima Daikon Brothers,"4,19"
Naruto: Shippuuden,"1,2,10,17,27"
Arslan Senki,"1,2,8,10,13"
Jagainu-kun,"2,10,36,51,15"
Hidamari Sketch,"36,52,63,23,80"
Tengen Toppa Gurren Lagann,"1,2,46,24,18"
Darker than Black: Kuro no Keiyakusha,"1,7,24,31"
Tokumu Sentai Shinesman,"1,4,24"
Tekkon Kinkreet,"1,2,46,37,40"
Terra e... (TV),"1,8,24,38,29,31,27"
Ookiku Furikabutte,"30,77,42"
Baccano!,"1,7,37,50,13,68"
Hare Tokidoki Buta (TV),"4,20"
Amon: Devilman Mokushiroku,"14,37,58,6,40,42"
Naruto: Shippuuden Movie 1,"1,2,10,27"
Kara no Kyoukai Movie 1: Fukan Fuukei,"1,7,37,41"
Sweet Valerian,"1,4,23"
Robby to Kerobby,"4,15"
Cencoroll,"1,24"
009-1: R&B,"1,24,42"
Persona: Trinity Soul,"1,7,24,37,31"
Kiniro no Corda: Primo Passo - Hitonatsu no Encore,"22,19,70,73,23,43"
Vampire Knight,"8,7,22,37,64,32,25"
Soul Eater,"1,4,10,23,27"
Hidamari Sketch x 365,"36,52,63,23,80"
Jigoku Shoujo Mitsuganae,"14,7,37,40"
Parappa the Rapper,"4,10"
Sakura Momoko Gekijou: Coji-Coji,"4,10"
Baccano! Specials,"1,7,37,50,13,68"
Kannagi,"4,37,23,80,27"
Armored Core: Fort Tower Song,"1,24,18"
Tetsuwan Birdy Decode,"1,4,24,42"
Sekirei,"1,4,9,35,31,42"
Natsume Yuujinchou,"36,37,63,6,25"
Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,"1,24,18"
Bounen no Xamdou,"1,2,24,38"
Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,"4,24,20"
Popolocrois Monogatari,"2,10"
Kyoro-chan,"2,4,10"
Naruto: Shippuuden Movie 2 - Kizuna,"1,2,10,27"
Sukima no Kuni no Polta,10
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,"1,24,18,29,31"
Tengen Toppa Gurren Lagann: Parallel Works,19
Vampire Knight Guilty,"8,7,22,37,64,32,25"
Kuroshitsuji,"1,10,7,13,6,27"
Mahou Shoujo Lyrical Nanoha: The Movie 1st,"1,4,8,24,66"
Guin Saga,"2,10"
Tetsuwan Birdy Decode:02,"1,4,24,42"
Bakemonogatari,"7,22,37,32"
Fullmetal Alchemist: Brotherhood,"1,2,8,10,38,27"
Sekirei: Pure Engagement,"1,4,9,35,31,42"
Sekirei: Hajimete no Otsukai,"4,35,42"
Zoku Natsume Yuujinchou,"36,37,63,6,25"
Senjou no Valkyria,"1,22,38"
Zenmai Zamurai,"4,15"
Kannagi: Moshimo Kannagi ga Attara...,"4,37,23,80,27"
Higepiyo,4
Tetsuwan Birdy Decode: The Cipher,"1,4,24,42"
Fullmetal Alchemist: Brotherhood Specials,"1,2,8,10,38,27"
Angel Beats!,"8,37,23"
Darker than Black: Ryuusei no Gemini,"1,7,24,31"
Rurouni Kenshin DVD-BOX Special Ending,"22,13"
Katanagatari,"1,2,22,13,17"
Kara no Kyoukai Remix: Gate of Seventh Heaven,"1,7,22,41,31"
Kuroshitsuji II,"1,4,10,13,6,27"
Durarara!!,"1,7,37"
So Ra No Wo To,"24,36,52,63,38,19"
Working!!,"4,74,48,42"
Senkou no Night Raid,"1,13,38,31"
Seikimatsu Occult Gakuin,"4,7,24,37,23,78"
Hidamari Sketch x ☆☆☆,"36,52,63,23,80"
Miracle☆Train: Oedo-sen e Youkoso,10
Gintama Movie 1: Shinyaku Benizakura-hen,"1,4,24,13,20,21,27"
Mitsudomoe,"4,57,23,27"
Ookiku Furikabutte: Natsu no Taikai-hen,"30,77,42"
Shiki,"14,7,37,41,58,40,32,27"
Mardock Scramble: The First Compression,"1,24,40"
Uchuu Show e Youkoso,"2,10,24,29"
Colorful (Movie),"46,8,37"
So Ra No Wo To Specials,"24,36,52,63,38,19"
Durarara!! Specials,"1,4,37"
Hourou Musuko,"8,22,81,23,42"
Togainu no Chi,"1,28,24,41,58,76"
Otome Youkai Zakuro,"22,37,13,38,6,42"
Ore no Imouto ga Konnani Kawaii Wake ga Nai,"4,69"
Senkou no Night Raid Specials,"1,13,38,31"
Senkou no Night Raid: Yogen,"1,13,38,31"
Star Driver: Kagayaki no Takuto,"1,22,24,18,23"
Angel Beats! Specials,"4,37,23"
Fullmetal Alchemist: The Sacred Star of Milos,"1,2,8,10,38,27"
Seikimatsu Occult Gakuin Specials,"4,37,23"
Kizumonogatari I: Tekketsu-hen,"1,7,37,32"
Cencoroll Connect,"1,24"
Minori Scramble!,4
Hidamari Sketch x ☆☆☆ Specials,"36,52,63,23,80"
Mahou Shoujo Madoka★Magica,"46,8,10,41,66,40"
A-Channel,"4,52,23"
Level E,"4,24,57,27"
Ao no Exorcist,"1,10,6,23,27"
Gintama',"1,4,24,57,13,20,21,27"
