animename,genre 
Chikasugi Idol Akae-chan Specials,"4,20,11"
DC Super Heroes vs Taka no Tsumedan Promotion Eizou,"4,20,31"
Ani x Para: Anata no Hero wa Dare desu ka,"30,56"
Wakaokami wa Shougakusei!,"4,36,37"
Oretacha Youkai Ningen G,"14,6,20"
Sword Gai The Animation Part II,"1,37,42"
Sukoyaka Oyako 21 x Taka no Tsumedan,"8,20"
Yoshida no Time Slip Fumai-kou,"13,20"
Heisei Matsue Kaidan,"14,37,20"
Wakaokami wa Shougakusei! Movie,"46,4,36,37"
Hatachi no Ryouma with Kurofune-kun!,"24,13,15"
Tales of Puppet,"4,10,20"
Gaikotsu Shotenin Honda-san OVA,"4,50,69,48"
Susume! Dokan-kun,"4,18"
Tatakae! Dokan-kun: Gekitou-kun,"4,18"
Tatakae! Dokan-kun: Robolympic-hen,"4,18"
Tobidase! Dokan-kun,"4,18"
Honda-san x Taka no Tsume,"4,20"
Ryuu ga Gotoku Online x Taka no Tsume,"4,20,79"
Kokoro no Tokyo Kakumei,4
Puttobe! Poodel,"4,19"
Taka no Tsume x Johnson: Tatakae! Jokin Shitennou,"4,20,31"
Mugyutto! Black Clover,"4,10,20,27"
Deluxe da yo! Kaishain,"4,48"
Taka no Tsumedan x Uchicomi!,"4,20"
Taeko no Nichijou,"36,48"
Mukashi Keibanashi,"4,10,30,20"
Tobidase! Dokan-kun Specials,"4,18,20"
Olga no Russia Gokouza,"4,36"
Himitsukessha Taka no Tsume Six: Shimane wa Yatsura Da,"4,20,31"
Taeko no Nichijou 2nd Season,"36,48"
Pittarazu,4
Pittarazu Gekijou Manner CM,4
U-turn wa Wakai Uchi ni Shiro!,4
Himitsukessha Taka no Tsume: Golden Spell,"4,20,31"
Neko Jockey,"4,15"
Yoshimaho,"10,36,53,62"
Neko Jockey 2nd Season,"4,15"
Yoshida Katsuko no Yabai wa! SDGs: Araburu! Trouble! Sustainable!,"4,20,48"
Sekai no Owari ni Shiba Inu to,"2,24,36,71"
Thermae Romae x Rêveur Collaboration,"4,42"
Human Bug Daigaku,"4,7,56"
Oshaberi Nachudons,4
Onegai! Momojiri Zoku,"4,37"
Nekoben,4
Pinko no Hiden Curry,"4,47,19"
Poo Poo Kids,"4,57"
Honmaguro Toro Tarou,4
Puppuku Beats,"4,19"
Pitekanto,4
Suicide Squad x Taka no Tsume,"4,30,20,31,77"
Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai,4
Dokan-kun Nanika no Ekaki Uta,4
Oshiete! Dokan-kun,4
Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai - Nenmatsu Special,4
Honto ni Atta! Reibai Sensei: Gyakushuu no Kurage.,"4,37,23,27"
Dramatic Nounai,"4,30"
Buchou Hashibiro Kousaku,"4,51,48"
Time Slip Shima Kousaku,4
Sakigake!! Reiwa no Danjuku,"1,4,55,17,23"
Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai - Dai Bounen Otanoshimikai 2023,4
Dokonjo Gaeru Yanen,4
Yozakura-san Chi no Mini Sakusen,"4,27"
Dai Mahou Touge,"4,10,57,66,23,27"
Nanatsu-iro★Drops,"22,66,23"
Dai Mahou Touge Omake,"4,10,57,66"
Skull Man,"1,7,37"
Kodomo no Jikan (TV),"4,8,9,23"
Kodomo no Jikan OVA,"4,9,23"
Nogizaka Haruka no Himitsu,"4,22,69,23"
Kodomo no Jikan Ni Gakki,"4,9,23"
Kodomo no Jikan Recap,"4,9,23"
Shinkyoku Soukai Polyphonica Crimson S,"8,10,22,19,23"
Nogizaka Haruka no Himitsu Purezza ♪,"4,22,69,23"
Shinryaku! Ika Musume,"4,51,27"
Astarotte no Omocha!,"4,10,22,9,35,62,42"
Shinryaku! Ika Musume Specials,"4,51,27"
Shinryaku!? Ika Musume,"4,51,27"
Astarotte no Omocha! EX,"4,10,22,9,62,42"
Shinryaku! Ika Musume: Ika Ice Tabena-ika?,19
Nogizaka Haruka no Himitsu Finale ♪,"4,22,69,23"
Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,"1,4,10,22,9,35,6"
Shinryaku!! Ika Musume,"4,51,27"
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,"1,4,10,62"
Shinryaku! Ika Musume: Kore ga Umi e no Ai Jana-ika!,19
Yumekuri,"36,42"
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?: Onsen Manyuuki,"4,10,9,62"
Gingitsune,"36,37,6,42"
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru","4,22,35,23"
Akuma no Riddle,"1,26,41,59,23"
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA","4,22,35,23"
Kantai Collection: KanColle,"1,24,51,38,23"
Seiken Tsukai no World Break,"1,10,22,35,72,23"
Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,"1,4,26,9"
Juuou Mujin no Fafnir,"1,10,22,35,23"
Kuusen Madoushi Kouhosei no Kyoukan,"1,8,10,23"
Binan Koukou Chikyuu Bouei-bu LOVE!,"4,20,23"
"Kuusen Madoushi Kouhosei no Kyoukan: Lecty no, Ikimonogatari","1,8,10,23"
KanColle Movie,"1,8,24,51,38"
Mayoiga,"8,14,7,41,40,76"
Gi(a)rlish Number,"36,50,75"
Handa-kun,"4,23,80,27"
Fuuka,"8,22,9,64,19,23,27"
Action Heroine Cheer Fruits,"4,36,23"
Aho Girl,"4,57,23,27"
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,"4,22,9,35,23"
Chio-chan no Tsuugakuro,"4,42"
Beatless,"1,8,22,24"
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken OVA,"4,22,9,23"
Beatless Intermission,"1,8,22,24"
Ahiru no Sora,"30,23,77,27"
Domestic na Kanojo,"8,22,64,23,27"
Beatless Final Stage,"1,8,22,24"
Futsal Boys!!!!!,"30,77"
Seijo no Maryoku wa Bannou desu,"10,22,62,67"
Isekai Yakkyoku,"10,62,67,72"
Seijo no Maryoku wa Bannou desu Season 2,"10,22,62,67"
Futsal Boys!!!!! Short Anime,"4,30,77"
Tensei Oujo to Tensai Reijou no Mahou Kakumei,"10,26,62,72"
Kamonohashi Ron no Kindan Suiri,"4,7,50,39,27"
Dogs: Bullets & Carnage,"1,8,24,50,58,68,42"
Ristorante Paradiso,"8,47,22,48"
Tatakau Shisho: The Book of Bantorra,"1,10,50,31"
Level E,"4,24,57,27"
Ben-To,"1,4,47,17"
Inu x Boku SS,"4,22,37,6,27"
Ben-To Picture Drama,4
Inu x Boku SS: Miketsukami-kun Henka/Switch/Omamagoto,"4,37,27"
JoJo no Kimyou na Bouken (TV),"1,2,37,13,32,27"
Choujigen Game Neptune The Animation,"1,4,10,24,20"
Choujigen Game Neptune The Animation: Yakusoku no Eien - True End,"1,4,10,24"
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"1,2,37,27"
Lost Forest,19
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,"1,2,37,27"
Monster Hunter Stories: Ride On,10
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"1,2,37,27"
Ensemble Stars!,"61,19,23"
Planetarian: Chiisana Hoshi no Yume,"8,24"
Planetarian: Hoshi no Hito,"8,24"
Kishibe Rohan wa Ugokanai,"1,7,37,27"
Sakurada Reset,"7,37,23,31,78"
Hataraku Saibou CM,"24,56,67"
Captain Tsubasa (2018),"30,77,27"
Hataraku Saibou,"4,51,56,67,27"
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"1,2,37,68,27"
Strike Witches: Road to Berlin,"1,24,9,38"
Enen no Shouboutai,"1,10,24,31,27"
Hataraku Saibou: Kaze Shoukougun,"4,56,67,27"
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps,"1,2,27"
Spriggan (ONA),"1,2,24,38,27"
Hataraku Saibou!!,"4,51,56,67,27"
Hataraku Saibou Specials,"4,56,67,20,27"
Hataraku Saibou: Necchuushou - Moshimo Pocari Sweat ga Attara,"4,56,67"
Ensemble Stars! Recap Special,"61,19,23"
2.43: Seiin Koukou Danshi Volley-bu,"8,30,23,77"
Enen no Shouboutai: Ni no Shou,"1,10,24,31,27"
"Hataraku Saibou!! Saikyou no Teki, Futatabi. Karada no Naka wa ""Chou"" Oosawagi!","1,4,56,67,27"
Misaki no Mayoiga,"46,8,10,6"
JoJo no Kimyou na Bouken Part 6: Stone Ocean,"1,2,37,27"
Ensemble Stars!! 5th Anniversary Animation PV,"61,19"
Ensemble Stars!! Road to Show!!,"61,19"
Urusei Yatsura (2022),"4,22,24,27"
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,"1,2,37,27"
Enen no Shouboutai: San no Shou,"1,10,24,31,27"
Undead Unluck,"1,4,10,31,27"
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,"1,2,37,27"
Urusei Yatsura x Onitsuka Tiger Collaboration CM,"4,22,24,37"
Urusei Yatsura (2022) 2nd Season,"4,22,24,27"
Sen to Chihiro no Kamikakushi,"2,46,37,6"
Tonari no Yamada-kun,"46,4,36"
Kurenai no Buta,"1,2,46,4,8,22,13,38"
Howl no Ugoku Shiro,"2,46,8,10,22"
Majo no Takkyuubin,"2,46,4,8,10"
Tenkuu no Shiro Laputa,"2,46,10,22,24"
Tonari no Totoro,"2,46,37"
Kaze no Tani no Nausicaä,"2,46,10"
Mimi wo Sumaseba,"8,22,25"
Neko no Ongaeshi,"2,46,8,10,51"
Heisei Tanuki Gassen Ponpoko,"46,51,15"
Ged Senki,"2,10"
Gake no Ue no Ponyo,"2,46,10"
Fireball,"4,24"
Stitch!,"2,4,15"
Pucca (TV),"4,22,20"
Karigurashi no Arrietty,"46,10"
Fireball Charming,24
Pucca (TV) 2nd Season,"1,4,22,20"
Kaze Tachinu,"46,8,22,13"
Omoide no Marnie,"8,7,41,40"
Baymax,"8,24,36,19"
Fireball Humorous,"4,24"
Nora to Oujo to Noraneko Heart,"4,9"
Animegataris,"4,69,20,23"
MahoYome: Aisatsu,20
MahoYome,20
God Eater Reso Nantoka Gekijou,"10,24,38,20"
God Eater Reso Nantoka Gekijou: Nagerareta Shokupan,"10,24,38,20"
Golden Douga Gekijou,4
BanG Dream! Garupa☆Pico,"4,19"
Chokkan × Algorhythm♪ 2nd Season,"4,60,19"
God Eater Reso Nantoka Gekijou: Episode EX,"10,24,38,20"
Umayon,"4,51"
Yesterday wo Utatte,"8,22,50,64,42"
Mini Yuri,"4,26,52,57,23"
Shiohi Girls: Vongole Bianco,22
Guraburu!,"2,10"
Yuuki Yuuna wa Yuusha de Aru Churutto!,"4,10"
D4DJ Petit Mix,"4,19"
BanG Dream! Garupa☆Pico Fever!,"4,19"
MahoYome Specials,20
Golden Douga Gekijou Specials,4
Umayon Shinsaku Short Anime,"4,51"
Transformers: Car Robots,"2,4,24,18"
Mugen Senki Portriss,"1,24,18"
Genei Toushi Bastof Lemon,"2,24,18"
Mainichi Kaasan,"4,36,53"
Greek Roman Sinhwa: Olympus Guardian (Movie),"2,10,13"
Pretty Rhythm: Dear My Future,"30,60,19"
Paboo & Mojies,15
Zoobles!,15
Pretty Rhythm: Rainbow Live,"30,60,19"
Pretty Rhythm: All Star Selection,"30,60,19"
PriPara,"36,60,19,23"
Uniminipet,"2,10"
Idol Time PriPara,"60,19,23"
Kiratto Pri☆chan,"36,60,19"
Waccha PriMagi!,"60,66,19"
Tama & Friends: Sagase! Mahou no Punipuni Stone,"2,4,15"
Maji de Wakaru! Waccha PriMagi Gakuen,"4,60,19"
Himitsu no AiPri,"60,19"
Coffee Tadaiku,36
Moving Colors,5
Two Tea Two,5
Spring has come!,19
How Low Sympathy,19
Rokuko-chan,15
Union Union,15
Saigo no Mori: Hajimari no Hito,36
Color Cycling,5
RainMan,"5,19"
Ame no Uta,19
Gu Gu Choki Choki,"19,15"
"Un, Ii n ja Nai","19,15"
47 Todoufuken R,"4,15"
Sarusuberi: Miss Hokusai,"46,8,37,13,80,42"
RoboMasters the Animated Series,23
Pingu in the City,"4,51,15"
Akanesasu Shoujo,"1,24,23"
Little Wonders: Sneeze,15
Poketoon,"2,4,15"
The First Slam Dunk,"46,30,23,77,27"
RabbiTube: Creator ni Challenge!,"4,61"
Propo Dance!,"61,19"
Ensemble Stars!! Tsuioku Selection Element,61
Ensemble Stars!! Tsuioku Selection Crossroad,61
Ensemble Stars!! Tsuioku Selection Checkmate,61
Bulg-eunmae,"17,31"
Gon,"1,2,51,15"
Dallyeola Hani,30
Cheonbangjichuk Hani,"4,8,30,23"
Eunhajeonseol Tera,"1,2,24,29"
Beompeoking Jaepeo,"1,3"
Iron Kid,"1,2,4,24"
Noonbory,"10,15"
Gon 2nd Season,"1,2,15"
Gaksital,"8,30,54,13,17,38"
Salaryman Mudaeri Yonghada Yonghae,"4,9,50"
Muzik Tiger,"36,51"
Ma ga Ochiru Yoru,12
Koihime,"10,37,12,35"
Private Emotion,12
Hitozuma Ryoujoku Sankanbi,12
Futago no Haha Seihonnou,12
Chikansha Thomas,12
Gibo no Toiki: Haitoku Kokoro ni Tadayou Haha no Iroka,12
Onna Kyoushi,12
Kunoichi Bakumatsu Kitan,12
Futari no Aniyome,12
Itoshi no Kotodama,12
Fate/Grand Order,"1,10"
Actors: Songs Connection,"19,23"
Vlad Love,"4,37,23,32"
Uzumaki,"5,8,14,37,41,40,42"
Kono Subarashii Sekai ni Shukufuku wo! 3,"2,4,10,62,20"
Fumetsu no Anata e Season 2,"2,8,37,27"
Teppen!!!!!!!!!!!!!!!,"4,23"
Kono Subarashii Sekai ni Bakuen wo!,"4,10"
Amagami-san Chi no Enmusubi,"4,22,35,27"
Momochi-san Chi no Ayakashi Ouji,"10,22,6,25"
Yousei Hime Ren,"2,4,10"
Dragon Knight 4,"2,10,12"
Ninpou Midare Karakuri,12
Houkago Renai Club: Koi no Étude,12
Kigurumi Sentai Quiltian,"12,18"
Arad: Suming Zhi Men,"1,2,10"
Sharedol,"13,60,19"
Suhoyojeong Michel,"2,10,15"
Elsword: El-ui Yeoin,"1,10"
Flowering Heart,15
Elsword: Ain-ui Gieog Animation,"1,10"
Tate no Yuusha no Nariagari Season 2,"1,2,8,10,62"
iichiko Story,"36,50"
Bishoujo Senshi Sailor Moon,"10,22,66,6,25"
Bishoujo Senshi Sailor Moon R,"10,22,66,6,25"
Saint Seiya,"1,2,10,24,6,27"
Taiyou no Ko Esteban,"2,24,13"
Uchuu Densetsu Ulysses 31,"1,2,24,29"
Pure Mail,12
Imouto de Ikou!,12
Milkyway,12
Princess Holiday: Korogaru Ringo Tei Senya Ichiya,"10,12"
Tai Yi Xian Mo Lu: Ling Fei Ji,"1,2,10,13,17"
Tai Yi Xian Mo Lu: Ling Fei Ji II,"1,2,10,13,17"
Tai Yi Xian Mo Lu: Ling Fei Ji III,"1,2,10,13,17"
Shen Cang,"2,10"
Xing Hai Qishi,"1,10,24"
Xing Hai Qishi: Xia Ban Ji,"1,10,24"
Xing Hai Qishi: Xinghuo Chongran,"1,10,24"
Jingju Mao,"1,2,4,10,15"
Jingju Mao Zhi Xinnian de Maoxian,"1,2,4,10,15"
Jingju Mao Zhi Cheng Feng Polang,"1,2,4,10,17,15"
Nameko-ke no Ichizoku,"4,36"
Clione no Akari,"8,23"
Glamorous Heroes,"1,79"
Sylvanian Families,"4,10,15"
Sylvanian Families Mini Gekijou: Omoigakenai Okyakusama,36
Chuan Shu Zijiu Zhinan,"4,8,10,13,62,6"
Bu Mie Shen Wang,"1,2,4,10"
Kyattou Ninden Teyandee,"1,4,24,51,18,31"
Ougon Bat,"1,24,31"
Ougon Bat,"1,24,31"
Youkai Ningen Bem,"14,6"
Si Hai Jing Qi,"1,2,10,7,13,17,38"
Line Rangers,"10,11"
Soredemo Ayumu wa Yosetekuru,"4,22,23,27"
Kino,36
Mo Ri Shu Guang,"1,28,14,37,41,40"
Shiyan Pin Jiating,"24,36"
Glass no Kamen,"8,22,70,25"
Kiko-chan Smile,"2,4,36,43"
Sazae-san,"4,36"
Tetsujin 28-gou,"2,24,18,27"
UFO Senshi Dai Apolon,"1,24,18"
Seimei no Kagaku: Micro Patrol,"2,56,67"
Play Ball,"30,77,27"
Play Ball 2nd,"30,77,27"
Go! Go! Itsutsugo Land,23
Musashi no Ken,"30,54,27"
Ninpuu Kamui Gaiden,"1,2,13,17,21"
Hai! Akko desu,"22,36"
Sasuke,"1,13,17,27"
Yuusei Shounen Papii,"1,24,29,31"
Jim Button,"2,10,15"
Seton Doubutsuki,"2,10"
Sennin Buraku,"4,9"
Cooking Papa,"4,47"
Bouken Korobokkuru,2
Bouken Gabotenjima,2
Hokahoka Kazoku,4
Ryuuichi Manga Gekijou Onbu Obake,37
Bakuhatsu Gorou,"4,30"
Captain (TV),"30,77,27"
UFO Senshi Dai Apolon 2,"1,24,18"
Ginga Patrol PJ,"8,24,38,29"
Skyers 5,"1,24"
Iruka to Shounen,"2,51,15"
Donbe Monogatari,15
Oyako Club,"4,36"
Yuusei Kamen,24
Uchuu Shounen Soran,"1,2,24"
Mirai Kara Kita Shounen Super Jetter,"1,4,24,31"
Captain Movie,"30,77,27"
Tetsujin 28-gou Gao!,"36,18"
Otoko wa Tsurai yo: Torajirou Wasurenagusa,"4,22"
Kobo-chan,"4,36,15"
Doubutsu Mura Monogatari,15
Dotanba no Manners,"4,36"
Ijiwaru Baasan (1996),"4,36"
Kotowaza House,"4,36"
Norakuro,4
Chiisana Koi no Monogatari: Chichi to Sally Hatsukoi no Shiki,"22,64,25"
Captain,"30,77,27"
Tetsujin 28-gou: Tanjou-hen,"2,24,18,27"
Sazae-san: Dawn to Ikka de Hawaii Ryokou,4
Ninpuu Kamui Gaiden: Tsukihigai no Maki,"1,2,13,17,21"
Bonobono (TV 2016),"4,36,51"
Bonobono: Uchuu kara Kita Tomodachi,"2,4,51,15"
Gokiburi-chan,15
Ame-iro Cocoa,"4,36,50,48"
Ame-iro Cocoa: Rainy Color e Youkoso!,"4,36,48"
"Ano Hi, Bokura wa Senjou de: Shounenhei no Kokuhaku",13
Kuma Miko,"4,36,42"
Renai Boukun,"4,22,37,35,23"
Kuma Miko Specials,"4,42"
Fudanshi Koukou Seikatsu,"4,69,23,43"
Ame-iro Cocoa in Hawaii,"4,36,48"
Nyanko Days,"4,36,52,71"
Urahara,"4,10,24,66,40"
Ame-iro Cocoa Series: Ame-con!!,"4,36,48"
Alice or Alice,"36,52"
"Fudanshi Koukou Seikatsu: Sports no Aki, Bonnou no Aki","4,69,23,43"
Jian Wangchao,"1,13"
Hyakuren no Haou to Seiyaku no Valkyria,"1,2,10,22,35,62,38"
Ame-iro Cocoa: Side G,"4,36,48"
Boku no Tonari ni Ankoku Hakaishin ga Imasu.,"4,23,43"
Assassins Pride,10
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,"4,10,35,62,67"
Kuma Kuma Kuma Bear,"2,4,10,62"
Bear Bear Bear Kuma!,"4,62"
Kuma Kuma Kuma Bear Punch!,"2,4,10,62"
Bear Bear Bear Kuma! Kumadam-hen,"4,18"
"Yuusha, Yamemasu","1,2,4,10"
Shoot! Goal to the Future,"30,77,27"
"Yuusha, Yamemasu: Kenshuu Ryokou wa Mokuteki wo Miushinau na","1,2,4,10"
"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau","1,10,35"
Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,"2,10,62,72"
Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,"1,10,22,35,62,72"
Shuumatsu Train Doko e Iku?,2
Bear Bear Bear Kuma Punch!,"4,62"
Bear Bear Bear Kuma Punch!! Daiundoukai-hen,"4,10,30,62"
Kisaki Kyouiku kara Nigetai Watashi,"4,10,22"
Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,"10,36,53,62"
Wanwan Train Doko e Iku?,4
Hoshi Shinichi Short Short,"4,24"
Interior,"2,4"
Onaka Hime,10
Aikatsu Stars!,"36,60,19,23"
Boku wa Koko de Ikiteiku,"19,15"
Tokyo 2164,24
Choco to Watashi,"19,15"
Kubbe Kort Animasjon,10
Kubbe PV Full ver.,10
Tokyo Onlypic,"4,30,20"
Curly,4
Runningman,"36,19"
Fly,10
My Home,"36,19"
Kirakira☆Precure A La Mode,"1,10,47,66"
Kizunakizu,"36,19,15"
Hug tto! Precure,"1,10,66"
Uchi no Oochopus,15
Aikatsu Friends!,"36,60,19,23"
Star☆Twinkle Precure,"1,10,66"
#Compass,11
Yuuki no Hana ga Hiraku Toki: Yanase Takashi to Anpanman no Monogatari,"8,15"
Pianoman,"10,19,6,40"
Pianoman Trailer,"19,40"
Wander Burabura Bakkamu,"8,24"
Psychic Academy,"4,22,37,64"
Memories Off,"8,22"
Slayers,"1,2,4,10"
Slayers Next,"1,2,4,10"
Slayers Try,"1,2,4,10"
Lost Universe,"2,4,8,24,29"
Barom One,"1,24,37,27"
Genma Taisen: Shinwa Zenya no Shou,"2,8,14,24,37,27"
Wild 7 Another Bouryaku Unga,"1,2,7,39,58,27"
Mutekiou Tri-Zenon,"24,18"
Fortune Quest L,"2,4,10"
Space Oz no Bouken,"2,24"
Ginga Sengoku Gunyuuden Rai,"2,22,24,29,27"
Tanoshii Willow Town,"10,15"
Fabre-sensei wa Meitantei,7
Ecchi de Happy! Pin! Pin! Pin!,12
Love Forever,12
Aa Harimanada,"30,54,17,42"
Magical Hat,"2,4,10,15"
Tobe! Pegasus Kokoro no Goal ni Shoot,"30,23"
Angel ga Tonda Hi,"4,36"
KanColle: Itsuka Ano Umi de,"1,24,51,38,23"
Hataage! Kemono Michi,"4,10,51,62,27"
Uzaki-chan wa Asobitai!,"4,50,74"
Uzaki-chan wa Asobitai! Double,"4,50,74"
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,"1,4,10,79"
"Tantei wa Mou, Shindeiru.","4,7,22,39"
"Tantei wa Mou, Shindeiru. Mini Anime",4
Shinmai Renkinjutsushi no Tenpo Keiei,"2,10,36"
Otome Game Sekai wa Mob ni Kibishii Sekai desu,"1,10,22,35,62,18,72,23"
"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.","22,23"
Shinmai Renkinjutsushi no Tenpo Keiei Mini Anime,"4,10"
Gamera: Rebirth,24
Unnamed Memory,"2,10,22"
Shinmai Renkinjutsushi no Tenpo Keiei Mini Anime: Onsen,4
Medalist,"8,30,70,42"
Odekake Kozame,"36,51"
Gamera VS Kozamera,"4,51"
Odekake Kozame x Chiba-ken Kuro Ajillo,"47,36,51"
Ontama!,"4,36,42"
Senki Zesshou Symphogear,"1,24,60,19"
Miyakawa-ke no Kuufuku,36
Zetsumetsu Kigu Shoujo: Amazing Twins,36
Etotama,"1,4,10,57"
Etotama Specials,"1,4,10"
Hitorijime My Hero,"28,8,23"
Girlfriend (Note),"19,23"
Love Kome: We Love Rice,"47,36"
Love Kome: We Love Rice Nikisaku,"47,36"
Gaikotsu Shotenin Honda-san,"4,50,69,48"
Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo,"1,2,10"
Isekai Cheat Magician,"1,2,10,62"
Gochuumon wa Usagi desu ka? Bloom,"36,52,63,48"
Akuma-kun (ONA),"14,37,41,6"
Deaimon,"36,53,48,42"
Isekai Cheat Magician: Yoiboshi no Matsuri to Majutsushi,"1,2,10,62"
Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,10
Netoraserare,12
Majuu Jouka Shoujo Utea,12
Dropout,"12,23"
Shoujo kara Shoujo e...,12
Energy Kyouka!!,12
Fella Hame Lips,12
Saimin Class,12
Residence,"12,6"
Hitozuma Life: One Time Gal,12
Enkou JK Bitch Gal: Ojisan to Namapako Seikatsu,12
Cherry & Gal's↑↑,12
Tenki no Ko CMs,36
Raison d'être,19
Kokoro Yohou,"22,19"
Sore wo Ai to Yobu dake,19
VERSEⁿ: Episodeⁿ - Kuusou,10
Massara,"36,19"
Ookami to Koushinryou: Merchant Meets the Wise Wolf,"2,8,10,22,50"
Protector,"1,19"
Biri-Biri,"10,19"
Gin no Guardian,"2,10"
Yi Ren Zhi Xia,"1,37,31"
Cheating Craft,"1,4,23"
Bloodivores,"1,7,37,32"
To Be Hero,4
Centaur no Nayami,"10,36,23,42"
Gin no Guardian II,"2,10"
Evil or Live,"14,41,58,40,23,76"
Ulysses: Jehanne Darc to Renkin no Kishi,"1,10,22,9,35,13,38"
Drive Agent Personal: Shiawase wo Mamoru Mono,8
Krosna,19
Aru Otoko no Ikikata,13
Henshin,19
Kotodama,19
Kyoumei,19
Majo (Shin),19
Yousei Chii-tan☆,"36,15"
Tannishou wo Hiraku,13
Fragtime,"26,37,23,31"
Kaitou Queen wa Circus ga Osuki,"2,10"
Hananoi-kun to Koi no Yamai,"22,23,25"
Touhai: Ura Rate Mahjong Touhai Roku,"8,41,40,11,42"
Project Bullet/Bullet,
Monsters: Ippyaku Sanjou Hiryuu Jigoku,"10,27"
Ninja Kamui,"1,10,24"
Ramen Akaneko,"4,51,48,27"
Fumikiri Jikan,"4,36"
"Maou-sama, Retry!","1,2,10,62"
180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,36
Aru Asa Dummy Head Mic ni Natteita Ore-kun no Jinsei,36
Chameleon (OVA),"4,9,55,23,42"
Zumomo to Nupepe,4
Tomodachi 8-nin,"4,15"
KutsuDaru.,"10,36,23,15"
Jigueseo Chikyuu no Sora no Shita de,"19,15"
Ringo no Uta,"19,15"
Watage no Osanpo,"19,15"
Happy Sugar Life,"8,26,14,41,58,40,27"
Sounan desu ka?,"2,4,41,52,76,42"
Runway de Waratte,"8,23,75,80,27"
Kuro Gal ni Natta kara Shinyuu to shitemita.,"28,12,65"
Elf-san wa Yaserarenai.,"4,10,9"
Hitozuma♪Kasumi-san,12
D+vine Luv,12
Kangoku: Injoku no Jikkentou,12
Requiem,12
Mononoke Movie: Karakasa,"14,7,37,41,50,13,6,40"
Kawagoe Boys Sing,"36,19,23"
Moke Moke Taishou Dendo Musume Arisa,"12,18"
Nakado Riku Animation: Hijouyou Mochidashi Bukuro wo Youi Shiyou,36
Otona nya Koi no Shikata ga Wakaranee!,"12,43"
Sakurada Reset,"7,37,23,31,78"
Kaze no You ni,"8,36"
D.C.: Da Capo,"8,22,35"
Futakoi Alternative,"4,8,22"
Jinki:Extend,"24,18"
D.C.S.S: Da Capo Second Season,"4,8,22,37,35"
Galaxy Angel 4,"4,24"
Jinki:Extend - Sorekara,"24,18"
Otome wa Boku ni Koishiteru,"4,8,22,81,23"
Nagasarete Airantou,"4,10,22,9,35,27"
Growlanser IV: Wayfarer of the Time,1
D.C.II: Da Capo II,"8,22,9,23"
Otome wa Boku ni Koishiteru Special,"4,22,81,23"
Strait Jacket,"1,10,24,58"
D.C.II S.S.: Da Capo II Second Season,"4,8,10,22,35"
D.C.S.S: Da Capo Second Season Omake,"4,22,35"
Shikabane Hime: Aka,"1,14,37,27"
Shikabane Hime: Kuro,"1,14,37,27"
Kiss x Sis,"4,22,9,35,23,42"
Kanamemo,"4,26,36,9,52"
Kiss x Sis (TV),"4,22,9,35,23,42"
Fortune Arterial: Akai Yakusoku,"4,22,37,23,32"
Yosuga no Sora,"8,22,9,35"
Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho,"4,10,22,35,32"
Mayo Chiki!,"4,22,9,81,35,23"
Papa no Iukoto wo Kikinasai!,"4,22,53"
"Dakara Boku wa, H ga Dekinai.","4,22,37,9,35,23"
Papa no Iukoto wo Kikinasai!: Pokkapoka,"4,22,53"
Minami-ke Tadaima,"4,36,52,23,42"
Minami-ke Omatase,"4,36,52,42"
